DATAFLOW,LAST UPDATE,freq,ind_type,indic_is,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ISOC_AI_IAIUXR$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Reason for not using generative AI tools: No need,Percentage of individuals,Austria,2025,33.99,,
ESTAT:ISOC_AI_IAIUXR$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Reason for not using generative AI tools: No need,Percentage of individuals,Bosnia and Herzegovina,2025,8.09,,
ESTAT:ISOC_AI_IAIUXR$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Reason for not using generative AI tools: No need,Percentage of individuals,Belgium,2025,33.29,,
ESTAT:ISOC_AI_IAIUXR$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Reason for not using generative AI tools: No need,Percentage of individuals,Bulgaria,2025,45.48,,
ESTAT:ISOC_AI_IAIUXR$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Reason for not using generative AI tools: No need,Percentage of individuals,Switzerland,2025,32.42,,
ESTAT:ISOC_AI_IAIUXR$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Reason for not using generative AI tools: No need,Percentage of individuals,Cyprus,2025,37.89,,
ESTAT:ISOC_AI_IAIUXR$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Reason for not using generative AI tools: No need,Percentage of individuals,Czechia,2025,45.25,,
ESTAT:ISOC_AI_IAIUXR$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Reason for not using generative AI tools: No need,Percentage of individuals,Germany,2025,48.85,,
ESTAT:ISOC_AI_IAIUXR$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Reason for not using generative AI tools: No need,Percentage of individuals,Denmark,2025,36.42,,
ESTAT:ISOC_AI_IAIUXR$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Reason for not using generative AI tools: No need,Percentage of individuals,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2025,37.48,,
ESTAT:ISOC_AI_IAIUXR$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Reason for not using generative AI tools: No need,Percentage of individuals,Estonia,2025,39.92,,
ESTAT:ISOC_AI_IAIUXR$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Reason for not using generative AI tools: No need,Percentage of individuals,Greece,2025,31.79,,
ESTAT:ISOC_AI_IAIUXR$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Reason for not using generative AI tools: No need,Percentage of individuals,Spain,2025,20.55,,
ESTAT:ISOC_AI_IAIUXR$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Reason for not using generative AI tools: No need,Percentage of individuals,European Union - 27 countries (from 2020),2025,39.25,,
ESTAT:ISOC_AI_IAIUXR$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Reason for not using generative AI tools: No need,Percentage of individuals,Finland,2025,37.44,,
ESTAT:ISOC_AI_IAIUXR$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Reason for not using generative AI tools: No need,Percentage of individuals,France,2025,35.84,,
ESTAT:ISOC_AI_IAIUXR$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Reason for not using generative AI tools: No need,Percentage of individuals,Croatia,2025,39.56,,
ESTAT:ISOC_AI_IAIUXR$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Reason for not using generative AI tools: No need,Percentage of individuals,Hungary,2025,31.03,,
ESTAT:ISOC_AI_IAIUXR$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Reason for not using generative AI tools: No need,Percentage of individuals,Ireland,2025,29.54,,
ESTAT:ISOC_AI_IAIUXR$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Reason for not using generative AI tools: No need,Percentage of individuals,Italy,2025,42.80,,
ESTAT:ISOC_AI_IAIUXR$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Reason for not using generative AI tools: No need,Percentage of individuals,Lithuania,2025,38.73,,
ESTAT:ISOC_AI_IAIUXR$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Reason for not using generative AI tools: No need,Percentage of individuals,Luxembourg,2025,38.44,,
ESTAT:ISOC_AI_IAIUXR$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Reason for not using generative AI tools: No need,Percentage of individuals,Latvia,2025,39.98,,
ESTAT:ISOC_AI_IAIUXR$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Reason for not using generative AI tools: No need,Percentage of individuals,Montenegro,2025,11.27,,
ESTAT:ISOC_AI_IAIUXR$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Reason for not using generative AI tools: No need,Percentage of individuals,North Macedonia,2025,42.83,,
ESTAT:ISOC_AI_IAIUXR$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Reason for not using generative AI tools: No need,Percentage of individuals,Malta,2025,25.72,,
ESTAT:ISOC_AI_IAIUXR$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Reason for not using generative AI tools: No need,Percentage of individuals,Netherlands,2025,30.31,,
ESTAT:ISOC_AI_IAIUXR$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Reason for not using generative AI tools: No need,Percentage of individuals,Norway,2025,30.62,,
ESTAT:ISOC_AI_IAIUXR$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Reason for not using generative AI tools: No need,Percentage of individuals,Poland,2025,54.48,,
ESTAT:ISOC_AI_IAIUXR$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Reason for not using generative AI tools: No need,Percentage of individuals,Portugal,2025,34.45,,
ESTAT:ISOC_AI_IAIUXR$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Reason for not using generative AI tools: No need,Percentage of individuals,Romania,2025,42.76,,
ESTAT:ISOC_AI_IAIUXR$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Reason for not using generative AI tools: No need,Percentage of individuals,Serbia,2025,44.72,,
ESTAT:ISOC_AI_IAIUXR$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Reason for not using generative AI tools: No need,Percentage of individuals,Sweden,2025,36.72,,
ESTAT:ISOC_AI_IAIUXR$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Reason for not using generative AI tools: No need,Percentage of individuals,Slovenia,2025,38.13,,
ESTAT:ISOC_AI_IAIUXR$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Reason for not using generative AI tools: No need,Percentage of individuals,Slovakia,2025,42.43,,
ESTAT:ISOC_AI_IAIUXR$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Reason for not using generative AI tools: No need,Percentage of individuals,Türkiye,2025,45.96,,
ESTAT:ISOC_AI_IAIUXR$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Reason for not using generative AI tools: No need,Percentage of individuals who used internet in the last 3 months,Austria,2025,35.66,,
ESTAT:ISOC_AI_IAIUXR$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Reason for not using generative AI tools: No need,Percentage of individuals who used internet in the last 3 months,Bosnia and Herzegovina,2025,8.98,,
ESTAT:ISOC_AI_IAIUXR$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Reason for not using generative AI tools: No need,Percentage of individuals who used internet in the last 3 months,Belgium,2025,34.51,,
ESTAT:ISOC_AI_IAIUXR$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Reason for not using generative AI tools: No need,Percentage of individuals who used internet in the last 3 months,Bulgaria,2025,52.37,,
ESTAT:ISOC_AI_IAIUXR$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Reason for not using generative AI tools: No need,Percentage of individuals who used internet in the last 3 months,Switzerland,2025,32.77,,
ESTAT:ISOC_AI_IAIUXR$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Reason for not using generative AI tools: No need,Percentage of individuals who used internet in the last 3 months,Cyprus,2025,40.40,,
ESTAT:ISOC_AI_IAIUXR$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Reason for not using generative AI tools: No need,Percentage of individuals who used internet in the last 3 months,Czechia,2025,47.87,,
ESTAT:ISOC_AI_IAIUXR$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Reason for not using generative AI tools: No need,Percentage of individuals who used internet in the last 3 months,Germany,2025,51.65,,
ESTAT:ISOC_AI_IAIUXR$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Reason for not using generative AI tools: No need,Percentage of individuals who used internet in the last 3 months,Denmark,2025,36.52,,
ESTAT:ISOC_AI_IAIUXR$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Reason for not using generative AI tools: No need,Percentage of individuals who used internet in the last 3 months,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2025,39.80,,
ESTAT:ISOC_AI_IAIUXR$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Reason for not using generative AI tools: No need,Percentage of individuals who used internet in the last 3 months,Estonia,2025,42.09,,
ESTAT:ISOC_AI_IAIUXR$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Reason for not using generative AI tools: No need,Percentage of individuals who used internet in the last 3 months,Greece,2025,35.65,,
ESTAT:ISOC_AI_IAIUXR$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Reason for not using generative AI tools: No need,Percentage of individuals who used internet in the last 3 months,Spain,2025,21.33,,
ESTAT:ISOC_AI_IAIUXR$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Reason for not using generative AI tools: No need,Percentage of individuals who used internet in the last 3 months,European Union - 27 countries (from 2020),2025,41.85,,
ESTAT:ISOC_AI_IAIUXR$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Reason for not using generative AI tools: No need,Percentage of individuals who used internet in the last 3 months,Finland,2025,38.18,,
ESTAT:ISOC_AI_IAIUXR$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Reason for not using generative AI tools: No need,Percentage of individuals who used internet in the last 3 months,France,2025,37.73,,
ESTAT:ISOC_AI_IAIUXR$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Reason for not using generative AI tools: No need,Percentage of individuals who used internet in the last 3 months,Croatia,2025,46.06,,
ESTAT:ISOC_AI_IAIUXR$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Reason for not using generative AI tools: No need,Percentage of individuals who used internet in the last 3 months,Hungary,2025,33.43,,
ESTAT:ISOC_AI_IAIUXR$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Reason for not using generative AI tools: No need,Percentage of individuals who used internet in the last 3 months,Ireland,2025,29.61,,
