DATAFLOW,LAST UPDATE,freq,ind_type,indic_is,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ISOC_AI_IAIU$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Use of generative AI tools: in the last 3 months,Percentage of individuals,Austria,2025,39.42,,
ESTAT:ISOC_AI_IAIU$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Use of generative AI tools: in the last 3 months,Percentage of individuals,Bosnia and Herzegovina,2025,20.26,,
ESTAT:ISOC_AI_IAIU$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Use of generative AI tools: in the last 3 months,Percentage of individuals,Belgium,2025,42.01,,
ESTAT:ISOC_AI_IAIU$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Use of generative AI tools: in the last 3 months,Percentage of individuals,Bulgaria,2025,22.50,,
ESTAT:ISOC_AI_IAIU$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Use of generative AI tools: in the last 3 months,Percentage of individuals,Switzerland,2025,47.02,,
ESTAT:ISOC_AI_IAIU$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Use of generative AI tools: in the last 3 months,Percentage of individuals,Cyprus,2025,44.20,,
ESTAT:ISOC_AI_IAIU$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Use of generative AI tools: in the last 3 months,Percentage of individuals,Czechia,2025,35.35,,
ESTAT:ISOC_AI_IAIU$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Use of generative AI tools: in the last 3 months,Percentage of individuals,Germany,2025,32.25,,
ESTAT:ISOC_AI_IAIU$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Use of generative AI tools: in the last 3 months,Percentage of individuals,Denmark,2025,48.44,,
ESTAT:ISOC_AI_IAIU$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Use of generative AI tools: in the last 3 months,Percentage of individuals,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2025,34.20,,
ESTAT:ISOC_AI_IAIU$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Use of generative AI tools: in the last 3 months,Percentage of individuals,Estonia,2025,46.64,,
ESTAT:ISOC_AI_IAIU$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Use of generative AI tools: in the last 3 months,Percentage of individuals,Greece,2025,44.09,,
ESTAT:ISOC_AI_IAIU$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Use of generative AI tools: in the last 3 months,Percentage of individuals,Spain,2025,37.88,,
ESTAT:ISOC_AI_IAIU$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Use of generative AI tools: in the last 3 months,Percentage of individuals,European Union - 27 countries (from 2020),2025,32.66,,
ESTAT:ISOC_AI_IAIU$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Use of generative AI tools: in the last 3 months,Percentage of individuals,Finland,2025,46.27,,
ESTAT:ISOC_AI_IAIU$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Use of generative AI tools: in the last 3 months,Percentage of individuals,France,2025,37.46,,
ESTAT:ISOC_AI_IAIU$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Use of generative AI tools: in the last 3 months,Percentage of individuals,Croatia,2025,27.52,,
ESTAT:ISOC_AI_IAIU$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Use of generative AI tools: in the last 3 months,Percentage of individuals,Hungary,2025,29.56,,
ESTAT:ISOC_AI_IAIU$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Use of generative AI tools: in the last 3 months,Percentage of individuals,Ireland,2025,44.93,,
ESTAT:ISOC_AI_IAIU$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Use of generative AI tools: in the last 3 months,Percentage of individuals,Italy,2025,19.86,,
ESTAT:ISOC_AI_IAIU$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Use of generative AI tools: in the last 3 months,Percentage of individuals,Lithuania,2025,36.89,,
ESTAT:ISOC_AI_IAIU$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Use of generative AI tools: in the last 3 months,Percentage of individuals,Luxembourg,2025,42.54,,
ESTAT:ISOC_AI_IAIU$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Use of generative AI tools: in the last 3 months,Percentage of individuals,Latvia,2025,33.40,,
ESTAT:ISOC_AI_IAIU$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Use of generative AI tools: in the last 3 months,Percentage of individuals,North Macedonia,2025,22.03,,
ESTAT:ISOC_AI_IAIU$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Use of generative AI tools: in the last 3 months,Percentage of individuals,Malta,2025,46.46,,
ESTAT:ISOC_AI_IAIU$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Use of generative AI tools: in the last 3 months,Percentage of individuals,Netherlands,2025,44.70,,
ESTAT:ISOC_AI_IAIU$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Use of generative AI tools: in the last 3 months,Percentage of individuals,Norway,2025,56.32,,
ESTAT:ISOC_AI_IAIU$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Use of generative AI tools: in the last 3 months,Percentage of individuals,Poland,2025,22.68,,
ESTAT:ISOC_AI_IAIU$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Use of generative AI tools: in the last 3 months,Percentage of individuals,Portugal,2025,38.70,,
ESTAT:ISOC_AI_IAIU$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Use of generative AI tools: in the last 3 months,Percentage of individuals,Romania,2025,17.76,,
ESTAT:ISOC_AI_IAIU$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Use of generative AI tools: in the last 3 months,Percentage of individuals,Serbia,2025,18.64,,
ESTAT:ISOC_AI_IAIU$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Use of generative AI tools: in the last 3 months,Percentage of individuals,Sweden,2025,42.01,,
ESTAT:ISOC_AI_IAIU$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Use of generative AI tools: in the last 3 months,Percentage of individuals,Slovenia,2025,37.56,,
ESTAT:ISOC_AI_IAIU$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Use of generative AI tools: in the last 3 months,Percentage of individuals,Slovakia,2025,30.79,,
ESTAT:ISOC_AI_IAIU$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Use of generative AI tools: in the last 3 months,Percentage of individuals,Türkiye,2025,17.19,,
ESTAT:ISOC_AI_IAIU$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Use of generative AI tools: in the last 3 months,Percentage of individuals who used internet in the last 3 months,Austria,2025,41.37,,
ESTAT:ISOC_AI_IAIU$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Use of generative AI tools: in the last 3 months,Percentage of individuals who used internet in the last 3 months,Bosnia and Herzegovina,2025,22.49,,
ESTAT:ISOC_AI_IAIU$DEFAULTVIEW(1.0),16/12/25 11:00:00,Annual,All individuals,Use of generative AI tools: in the last 3 months,Percentage of individuals who used internet in the last 3 months,Belgium,2025,43.55,,
